Dataset Name,Image Name,Characteristics [Organism],Term Source 1 REF,Term Source 1 Accession,Characteristics [Cell Line],Term Source 2 REF,Term Source 2 Accession,Comment [Cell Line],Assay Name,Source Name,Experimental Condition [Stimulation],Cycle Number,Tile Position,Comment [Image File Path],Comment [Image File Type],Processed Data File,Protocol REF,Channels
c1-SBS-1 sbs A11 raw,10X_c1-SBS-1_A11_Tile-0.sbs,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,HeLa TetR-Cas9,"HeLa TetR-Cas9, Fig2, 12 cycles SBS",HeLa TetR-Cas9 FR-1k,none,1,"86160.0, 3840.0",experimentE/10X_c1-SBS-1/,raw,10X_A11_Tile-0,feldman4/OpticalPooledScreens:e7b968898aaf9ce7a51bc0937d432bd1a096f990,DAPI:Cy3:A594:Cy5:Cy7
c1-SBS-1 sbs A11 raw,10X_c1-SBS-1_A11_Tile-1.sbs,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,HeLa TetR-Cas9,"HeLa TetR-Cas9, Fig2, 12 cycles SBS",HeLa TetR-Cas9 FR-1k,none,1,"87440.0, 3840.0",experimentE/10X_c1-SBS-1/,raw,10X_A11_Tile-1,feldman4/OpticalPooledScreens:e7b968898aaf9ce7a51bc0937d432bd1a096f990,DAPI:Cy3:A594:Cy5:Cy7
c1-SBS-1 sbs A11 raw,10X_c1-SBS-1_A11_Tile-10.sbs,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,HeLa TetR-Cas9,"HeLa TetR-Cas9, Fig2, 12 cycles SBS",HeLa TetR-Cas9 FR-1k,none,1,"90000.0, 2560.0",experimentE/10X_c1-SBS-1/,raw,10X_A11_Tile-10,feldman4/OpticalPooledScreens:e7b968898aaf9ce7a51bc0937d432bd1a096f990,DAPI:Cy3:A594:Cy5:Cy7
c1-SBS-1 sbs A11 raw,10X_c1-SBS-1_A11_Tile-11.sbs,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,HeLa TetR-Cas9,"HeLa TetR-Cas9, Fig2, 12 cycles SBS",HeLa TetR-Cas9 FR-1k,none,1,"91280.0, 2560.0",experimentE/10X_c1-SBS-1/,raw,10X_A11_Tile-11,feldman4/OpticalPooledScreens:e7b968898aaf9ce7a51bc0937d432bd1a096f990,DAPI:Cy3:A594:Cy5:Cy7
c1-SBS-1 sbs A11 raw,10X_c1-SBS-1_A11_Tile-12.sbs,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,HeLa TetR-Cas9,"HeLa TetR-Cas9, Fig2, 12 cycles SBS",HeLa TetR-Cas9 FR-1k,none,1,"92560.0, 2560.0",experimentE/10X_c1-SBS-1/,raw,10X_A11_Tile-12,feldman4/OpticalPooledScreens:e7b968898aaf9ce7a51bc0937d432bd1a096f990,DAPI:Cy3:A594:Cy5:Cy7
c1-SBS-1 sbs A11 raw,10X_c1-SBS-1_A11_Tile-13.sbs,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,HeLa TetR-Cas9,"HeLa TetR-Cas9, Fig2, 12 cycles SBS",HeLa TetR-Cas9 FR-1k,none,1,"93840.0, 2560.0",experimentE/10X_c1-SBS-1/,raw,10X_A11_Tile-13,feldman4/OpticalPooledScreens:e7b968898aaf9ce7a51bc0937d432bd1a096f990,DAPI:Cy3:A594:Cy5:Cy7
c1-SBS-1 sbs A11 raw,10X_c1-SBS-1_A11_Tile-14.sbs,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,HeLa TetR-Cas9,"HeLa TetR-Cas9, Fig2, 12 cycles SBS",HeLa TetR-Cas9 FR-1k,none,1,"86160.0, 1280.0",experimentE/10X_c1-SBS-1/,raw,10X_A11_Tile-14,feldman4/OpticalPooledScreens:e7b968898aaf9ce7a51bc0937d432bd1a096f990,DAPI:Cy3:A594:Cy5:Cy7
c1-SBS-1 sbs A11 raw,10X_c1-SBS-1_A11_Tile-15.sbs,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,HeLa TetR-Cas9,"HeLa TetR-Cas9, Fig2, 12 cycles SBS",HeLa TetR-Cas9 FR-1k,none,1,"87440.0, 1280.0",experimentE/10X_c1-SBS-1/,raw,10X_A11_Tile-15,feldman4/OpticalPooledScreens:e7b968898aaf9ce7a51bc0937d432bd1a096f990,DAPI:Cy3:A594:Cy5:Cy7
c1-SBS-1 sbs A11 raw,10X_c1-SBS-1_A11_Tile-16.sbs,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,HeLa TetR-Cas9,"HeLa TetR-Cas9, Fig2, 12 cycles SBS",HeLa TetR-Cas9 FR-1k,none,1,"88720.0, 1280.0",experimentE/10X_c1-SBS-1/,raw,10X_A11_Tile-16,feldman4/OpticalPooledScreens:e7b968898aaf9ce7a51bc0937d432bd1a096f990,DAPI:Cy3:A594:Cy5:Cy7
c1-SBS-1 sbs A11 raw,10X_c1-SBS-1_A11_Tile-17.sbs,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,HeLa TetR-Cas9,"HeLa TetR-Cas9, Fig2, 12 cycles SBS",HeLa TetR-Cas9 FR-1k,none,1,"90000.0, 1280.0",experimentE/10X_c1-SBS-1/,raw,10X_A11_Tile-17,feldman4/OpticalPooledScreens:e7b968898aaf9ce7a51bc0937d432bd1a096f990,DAPI:Cy3:A594:Cy5:Cy7
