Dataset Name,Image Name,Characteristics [Organism],Term Source 1 REF,Term Source 1 Accession,Characteristics [Cell Line],Term Source 2 REF,Term Source 2 Accession,Comment [Cell Line],Source Name,Experimental Condition [Stimulation],Cycle Number,Tile Position,Comment [Image File Path],Comment [Image File Type],Processed Data File,Protocol REF,Channels
"HeLa TetR-Cas9, Fig2, 12 cycles SBS",10X_c1-SBS-1_A11_Tile-0.sbs.tif,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001086,HeLa TetR-Cas9,HeLa TetR-Cas9 FR-1k,none,0,"86160.0, 3840.0",experimentE/10X_c1-SBS-1/,raw,experimentA/analysed/10X_A1_Tile-10.aligned.tif,feldman4/OpticalPooledScreens:e7b968898aaf9ce7a51bc0937d432bd1a096f990,DAPI:Cy3:A594:Cy5:Cy7
"HeLa TetR-Cas9, Fig2, 12 cycles SBS",10X_c1-SBS-1_A11_Tile-1.sbs.tif,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001086,HeLa TetR-Cas9,HeLa TetR-Cas9 FR-1k,none,0,"87440.0, 3840.0",experimentE/10X_c1-SBS-1/,raw,experimentA/analysed/10X_A1_Tile-10.aligned.tif,feldman4/OpticalPooledScreens:e7b968898aaf9ce7a51bc0937d432bd1a096f990,DAPI:Cy3:A594:Cy5:Cy7
"HeLa TetR-Cas9, Fig2, 12 cycles SBS",10X_c1-SBS-1_A11_Tile-10.sbs.tif,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001086,HeLa TetR-Cas9,HeLa TetR-Cas9 FR-1k,none,0,"90000.0, 2560.0",experimentE/10X_c1-SBS-1/,raw,experimentA/analysed/10X_A1_Tile-10.aligned.tif,feldman4/OpticalPooledScreens:e7b968898aaf9ce7a51bc0937d432bd1a096f990,DAPI:Cy3:A594:Cy5:Cy7
"HeLa TetR-Cas9, Fig2, 12 cycles SBS",10X_c1-SBS-1_A11_Tile-11.sbs.tif,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001086,HeLa TetR-Cas9,HeLa TetR-Cas9 FR-1k,none,0,"91280.0, 2560.0",experimentE/10X_c1-SBS-1/,raw,experimentA/analysed/10X_A1_Tile-10.aligned.tif,feldman4/OpticalPooledScreens:e7b968898aaf9ce7a51bc0937d432bd1a096f990,DAPI:Cy3:A594:Cy5:Cy7
"HeLa TetR-Cas9, Fig2, 12 cycles SBS",10X_c1-SBS-1_A11_Tile-12.sbs.tif,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001086,HeLa TetR-Cas9,HeLa TetR-Cas9 FR-1k,none,0,"92560.0, 2560.0",experimentE/10X_c1-SBS-1/,raw,experimentA/analysed/10X_A1_Tile-10.aligned.tif,feldman4/OpticalPooledScreens:e7b968898aaf9ce7a51bc0937d432bd1a096f990,DAPI:Cy3:A594:Cy5:Cy7
"HeLa TetR-Cas9, Fig2, 12 cycles SBS",10X_c1-SBS-1_A11_Tile-13.sbs.tif,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001086,HeLa TetR-Cas9,HeLa TetR-Cas9 FR-1k,none,0,"93840.0, 2560.0",experimentE/10X_c1-SBS-1/,raw,experimentA/analysed/10X_A1_Tile-10.aligned.tif,feldman4/OpticalPooledScreens:e7b968898aaf9ce7a51bc0937d432bd1a096f990,DAPI:Cy3:A594:Cy5:Cy7
"HeLa TetR-Cas9, Fig2, 12 cycles SBS",10X_c1-SBS-1_A11_Tile-14.sbs.tif,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001086,HeLa TetR-Cas9,HeLa TetR-Cas9 FR-1k,none,0,"86160.0, 1280.0",experimentE/10X_c1-SBS-1/,raw,experimentA/analysed/10X_A1_Tile-10.aligned.tif,feldman4/OpticalPooledScreens:e7b968898aaf9ce7a51bc0937d432bd1a096f990,DAPI:Cy3:A594:Cy5:Cy7
"HeLa TetR-Cas9, Fig2, 12 cycles SBS",10X_c1-SBS-1_A11_Tile-15.sbs.tif,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001086,HeLa TetR-Cas9,HeLa TetR-Cas9 FR-1k,none,0,"87440.0, 1280.0",experimentE/10X_c1-SBS-1/,raw,experimentA/analysed/10X_A1_Tile-10.aligned.tif,feldman4/OpticalPooledScreens:e7b968898aaf9ce7a51bc0937d432bd1a096f990,DAPI:Cy3:A594:Cy5:Cy7
"HeLa TetR-Cas9, Fig2, 12 cycles SBS",10X_c1-SBS-1_A11_Tile-16.sbs.tif,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001086,HeLa TetR-Cas9,HeLa TetR-Cas9 FR-1k,none,0,"88720.0, 1280.0",experimentE/10X_c1-SBS-1/,raw,experimentA/analysed/10X_A1_Tile-10.aligned.tif,feldman4/OpticalPooledScreens:e7b968898aaf9ce7a51bc0937d432bd1a096f990,DAPI:Cy3:A594:Cy5:Cy7
"HeLa TetR-Cas9, Fig2, 12 cycles SBS",10X_c1-SBS-1_A11_Tile-17.sbs.tif,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001086,HeLa TetR-Cas9,HeLa TetR-Cas9 FR-1k,none,0,"90000.0, 1280.0",experimentE/10X_c1-SBS-1/,raw,experimentA/analysed/10X_A1_Tile-10.aligned.tif,feldman4/OpticalPooledScreens:e7b968898aaf9ce7a51bc0937d432bd1a096f990,DAPI:Cy3:A594:Cy5:Cy7
"HeLa TetR-Cas9, Fig2, 12 cycles SBS",10X_c1-SBS-1_A11_Tile-18.sbs.tif,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001086,HeLa TetR-Cas9,HeLa TetR-Cas9 FR-1k,none,0,"91280.0, 1280.0",experimentE/10X_c1-SBS-1/,raw,experimentA/analysed/10X_A1_Tile-10.aligned.tif,feldman4/OpticalPooledScreens:e7b968898aaf9ce7a51bc0937d432bd1a096f990,DAPI:Cy3:A594:Cy5:Cy7
"HeLa TetR-Cas9, Fig2, 12 cycles SBS",10X_c1-SBS-1_A11_Tile-19.sbs.tif,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001086,HeLa TetR-Cas9,HeLa TetR-Cas9 FR-1k,none,0,"92560.0, 1280.0",experimentE/10X_c1-SBS-1/,raw,experimentA/analysed/10X_A1_Tile-10.aligned.tif,feldman4/OpticalPooledScreens:e7b968898aaf9ce7a51bc0937d432bd1a096f990,DAPI:Cy3:A594:Cy5:Cy7
"HeLa TetR-Cas9, Fig2, 12 cycles SBS",10X_c1-SBS-1_A11_Tile-2.sbs.tif,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001086,HeLa TetR-Cas9,HeLa TetR-Cas9 FR-1k,none,0,"88720.0, 3840.0",experimentE/10X_c1-SBS-1/,raw,experimentA/analysed/10X_A1_Tile-10.aligned.tif,feldman4/OpticalPooledScreens:e7b968898aaf9ce7a51bc0937d432bd1a096f990,DAPI:Cy3:A594:Cy5:Cy7
"HeLa TetR-Cas9, Fig2, 12 cycles SBS",10X_c1-SBS-1_A11_Tile-20.sbs.tif,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001086,HeLa TetR-Cas9,HeLa TetR-Cas9 FR-1k,none,0,"93840.0, 1280.0",experimentE/10X_c1-SBS-1/,raw,experimentA/analysed/10X_A1_Tile-10.aligned.tif,feldman4/OpticalPooledScreens:e7b968898aaf9ce7a51bc0937d432bd1a096f990,DAPI:Cy3:A594:Cy5:Cy7
"HeLa TetR-Cas9, Fig2, 12 cycles SBS",10X_c1-SBS-1_A11_Tile-21.sbs.tif,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001086,HeLa TetR-Cas9,HeLa TetR-Cas9 FR-1k,none,0,"86160.0, -0.0",experimentE/10X_c1-SBS-1/,raw,experimentA/analysed/10X_A1_Tile-10.aligned.tif,feldman4/OpticalPooledScreens:e7b968898aaf9ce7a51bc0937d432bd1a096f990,DAPI:Cy3:A594:Cy5:Cy7
"HeLa TetR-Cas9, Fig2, 12 cycles SBS",10X_c1-SBS-1_A11_Tile-22.sbs.tif,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001086,HeLa TetR-Cas9,HeLa TetR-Cas9 FR-1k,none,0,"87440.0, -0.0",experimentE/10X_c1-SBS-1/,raw,experimentA/analysed/10X_A1_Tile-10.aligned.tif,feldman4/OpticalPooledScreens:e7b968898aaf9ce7a51bc0937d432bd1a096f990,DAPI:Cy3:A594:Cy5:Cy7
"HeLa TetR-Cas9, Fig2, 12 cycles SBS",10X_c1-SBS-1_A11_Tile-23.sbs.tif,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001086,HeLa TetR-Cas9,HeLa TetR-Cas9 FR-1k,none,0,"88720.0, -0.0",experimentE/10X_c1-SBS-1/,raw,experimentA/analysed/10X_A1_Tile-10.aligned.tif,feldman4/OpticalPooledScreens:e7b968898aaf9ce7a51bc0937d432bd1a096f990,DAPI:Cy3:A594:Cy5:Cy7
"HeLa TetR-Cas9, Fig2, 12 cycles SBS",10X_c1-SBS-1_A11_Tile-24.sbs.tif,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001086,HeLa TetR-Cas9,HeLa TetR-Cas9 FR-1k,none,0,"90000.0, -0.0",experimentE/10X_c1-SBS-1/,raw,experimentA/analysed/10X_A1_Tile-10.aligned.tif,feldman4/OpticalPooledScreens:e7b968898aaf9ce7a51bc0937d432bd1a096f990,DAPI:Cy3:A594:Cy5:Cy7
"HeLa TetR-Cas9, Fig2, 12 cycles SBS",10X_c1-SBS-1_A11_Tile-25.sbs.tif,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001086,HeLa TetR-Cas9,HeLa TetR-Cas9 FR-1k,none,0,"91280.0, -0.0",experimentE/10X_c1-SBS-1/,raw,experimentA/analysed/10X_A1_Tile-10.aligned.tif,feldman4/OpticalPooledScreens:e7b968898aaf9ce7a51bc0937d432bd1a096f990,DAPI:Cy3:A594:Cy5:Cy7
"HeLa TetR-Cas9, Fig2, 12 cycles SBS",10X_c1-SBS-1_A11_Tile-26.sbs.tif,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001086,HeLa TetR-Cas9,HeLa TetR-Cas9 FR-1k,none,0,"92560.0, -0.0",experimentE/10X_c1-SBS-1/,raw,experimentA/analysed/10X_A1_Tile-10.aligned.tif,feldman4/OpticalPooledScreens:e7b968898aaf9ce7a51bc0937d432bd1a096f990,DAPI:Cy3:A594:Cy5:Cy7
